band,scale,orig_NET,orig_samplerate
1,1.0,94.7,42.0
2,1.0,86.6,51.0
3,1.0,54.9,42.0
4,1.0,50.2,51.0
5,1.0,40.3,42.0
6,1.0,37.1,51.0
7,5.428571428571429,56.5,126.0
8,12.66893424036281,52.7,151.0
9,5.428571428571429,33.8,126.0
10,12.66893424036281,32.1,151.0
11,5.428571428571429,26.7,126.0
12,12.66893424036281,26.3,151.0
13,143.32426303854876,49.9,374.0
14,128.15192743764172,56.0,445.0
15,143.32426303854876,41.7,374.0
16,128.15192743764172,55.3,445.0
17,143.32426303854876,69.0,374.0
18,128.15192743764172,141.0,445.0
19,244.7845804988662,460.5,850.0
20,244.7845804988662,1826.0,850.0
21,244.7845804988662,10806.1,850.0
